date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Sat Dec 15 2018 08:05:25 GMT-0500 (Eastern Standard Time),,"New York, NY",Former Employee ,Shop Keeper,I worked at The RealReal full-time for less than a year,9,"Benefits - medical, therapy, pet insurance","Unorganized back room
Managers don't talk to employees with respect 
A lot of drama 
Fires people with little explanation",Learn how to talk to others,1.0,2.0,,,,
Thu Nov 01 2018 22:11:40 GMT-0400 (Eastern Daylight Time),,,Former Employee ,Copywriter,I worked at The RealReal full-time,3,"Lunches
Working with great people","Long hours
Strict demands asked
Shady managers",,3.0,,,,,
Mon Nov 05 2018 11:49:44 GMT-0500 (Eastern Standard Time), Copy Writer,"Secaucus, NJ",Former Employee ,The Garbage Fire of Secondhand Fashion,I worked at The RealReal full-time for less than a year,22,"Occasional Free Food, You get to work with cool and often rare pieces of clothing, You get to meet a few people who share the same values as you about clothes","10 hour work days, Oversaturation of people doing the same job, Managers have little to no education or knowledge of menswear, management gets paid ~2.5 times what you make, unless you've been working this 17/hr job for over a year and a half there is no room for upward movement, little to no room for overtime unless you sign up early and are willing to come in on one of your days off...

I started working for...","Stop posting fake reviews, address issues, don't put a warehouse outside of San Francisco where the ABSOLUTE base CoL is 2x more than what you're paying copywriters, Price things accurately, don't let your employees damage out items intentionally, actually care about the baseline of your employment because they will be the downfall of this company.",1.0,1.0,1.0,1.0,2.0,1.0
Tue Oct 23 2018 13:01:10 GMT-0400 (Eastern Daylight Time),,,Former Employee ,Sales Development Representative,I worked at The RealReal full-time,5,"Decent medical benefits
Commuter benefits
Great location to work at in the city",Unprofessional sales team overall. Very cliquey and catty. Similar to the environment of junior year in high school. This role is for a inexperienced sales professional who recently graduated from college. It was also shocking how some of the sales development representative would speak poorly about their consignors. I won’t even get into detail about the exchange of conversation in the Google chatrooms.,Hold your team to higher standards.,2.0,4.0,4.0,3.0,2.0,3.0
Wed Nov 14 2018 17:41:11 GMT-0500 (Eastern Standard Time),,, ,Sales development representative,I worked at The RealReal,7,The people on the team are chill,Management is terrible. Has had no experience at being a manager and it is obvious. Doesn’t know how to talk to people at all or have your back at getting paid. Yes I said getting paid. Commissions have been paid when they decide to pay you which is a labor board issue.,Learn how to deal with people and not take offense to feedback.,1.0,5.0,,,,
Mon Nov 05 2018 12:46:41 GMT-0500 (Eastern Standard Time),,, ,Shady HR Practices,I worked at The RealReal,12,Great concept! Should have been a great opportunity for someone to run and develop their own business in the marketplace.,I was offered job and then job was rescinded based on poor HR practices conducted personally without my permission.,,1.0,1.0,1.0,1.0,1.0,1.0
Mon Oct 01 2018 20:21:20 GMT-0400 (Eastern Daylight Time),,"Secaucus, NJ",Current Employee ,Great Company But Challenging Work,I have been working at The RealReal full-time,0,"Very Nice People
Flexible With Scheduling
Accessible Management and HR","Challenging Quotas
Out Of The Way Location
Cold Office",,4.0,4.0,5.0,4.0,3.0,
Sun Oct 28 2018 21:41:45 GMT-0400 (Eastern Daylight Time),,,Former Employee ,Trap and Abuse Young Talent,I worked at The RealReal full-time,12,Schedule flexibility. Free shuttle service.,Run like a sweatshop. Using hopes and dreams of young creatives to fuel cruel and unrealistic work conditions.,"Hire real industry talent to lead your teams. It's not a store. It's an entry-level corporate job, act like it.",1.0,2.0,1.0,1.0,2.0,2.0
Sun Oct 28 2018 21:55:56 GMT-0400 (Eastern Daylight Time), Fashion Copywriter,"Brisbane, CA",Current Employee ,Disappointed and Disheartened Copywriter,I have been working at The RealReal full-time for less than a year,11,If you love being surrounded by all things fashion this is a space filled with it.,"Lack of advocacy for employees by management and HR, no room to express how you feel or what can be improved. Disorganized, repetitive, very cliquey, lack of authentic communication across all levels of management, “startup growing pains” masks that there is something fundamentally wrong with the way things are run. The only team who seems connected and has fun, are boisterous and you can feel the creative energy...","Listen to your employees: Take a step back and review the systems in place and how they’re not a positive experience for daily repetitive work, hire within the company to management or senior level roles who have the knowledge to make positive change across the company.",1.0,1.0,1.0,1.0,2.0,1.0
Sat Sep 29 2018 09:40:53 GMT-0400 (Eastern Daylight Time),,"Brisbane, CA",Current Employee ,Life/Work balance is important.,I have been working at The RealReal full-time for more than a year,7,"Benefits are decent, definitely could be better though. People are great. Free bagels on Fridays.","No such thing as life/work balance, they just want you to work, work, work and work some more. I understand that this is a ""startup"" (it isn't really, it's been around for 7 years now) but people can't be treated like machines. 

Performance is very numbers based, and basically any hourly employee gets extremely screwed over here. Salaried employees get treated a little better, though barely. People that are paid...","Consider how people feel, consider that they have lives outside of this company, consider that they have a desire to move up in the ranks.",2.0,1.0,1.0,1.0,4.0,2.0
Tue Sep 18 2018 07:58:47 GMT-0400 (Eastern Daylight Time), Luxury Manager,"Virginia Beach, VA",Former Employee ,Salary,I worked at The RealReal full-time for more than 3 years,1,Creative and consistent management job.,Worked more than full-time; was extensive.,,4.0,3.0,4.0,4.0,4.0,4.0
Mon Aug 27 2018 14:38:10 GMT-0400 (Eastern Daylight Time), Photographer,"South San Francisco, CA",Former Employee ,"Decent Pay, The Best Co-workers, but Outrageous Hours and Expectations",I worked at The RealReal full-time for more than a year,7,"The redeeming quality of The RealReal, at least in the photo department is that you will meet the best people. Your coworkers are supportive and fun, which is especially needed with how hard upper management pushes you to reach quotas. Your leads will do the best they can for you. The pay is also decent. Having benefits as photographer is a nice touch. It's also interesting to be around and see a lot of designer...","The expectations are very high here. Upper management have a lot of pressure to maintain and keep up with quotas, and the production teams are directly effected because of it. It's hard to not feel like a number in the system here, at least in view of management. Its hard to maintain a healthy work-life balance when working here. Overtime is mandatory and can get exhausting.",,3.0,1.0,3.0,2.0,4.0,2.0
Fri Aug 17 2018 11:11:07 GMT-0400 (Eastern Daylight Time),,"Brisbane, CA",Current Employee ,The Place I've Ever Worked - Seriously,I have been working at The RealReal full-time for more than a year,0,"-Opportunity for growth
-Allows for autonomous working in a team environment 
-Bagel Fridays 
-Occasional catered lunches","-Environment can get cliquey 
-Must be okay with change! Opportunity for growth means the company is growing and changing",*communication is key*,5.0,4.0,4.0,5.0,4.0,5.0
Wed Aug 08 2018 11:46:15 GMT-0400 (Eastern Daylight Time),,, ,Associate Luxury Manager,I have been working at The RealReal,4,Make your own schedule and manager your own clients,No set corporate ladder. Management does not listen to ideas or constructive criticism,,3.0,4.0,2.0,2.0,2.0,2.0
Wed Aug 08 2018 15:46:02 GMT-0400 (Eastern Daylight Time),,,Current Employee ,AWESOME COMPANY,I have been working at The RealReal full-time,2,Start up that’s only growing!,"Lots of changes, expect the unexpected",,4.0,4.0,4.0,5.0,4.0,3.0
Sat Aug 04 2018 07:10:18 GMT-0400 (Eastern Daylight Time),,"New York, NY",Current Employee ,The Best company,I have been working at The RealReal full-time for more than 5 years,0,"Opportunity, fast paced, the people, loyal employees, strong sales leader, fun work environment",You have to be okay with change as we are growing so fast!,None,5.0,4.0,5.0,5.0,4.0,5.0
Tue Aug 28 2018 06:00:31 GMT-0400 (Eastern Daylight Time), Merchandising Manager,"Secaucus, NJ",Former Employee ,Completely horrifying and depressing,I worked at The RealReal full-time for more than a year,15,Good health insurance and PTO,"This place is like a dark dungeon with no natural light, poor air circulation, and bathrooms that flood and smell like decomposing bodies. The corporate culture is similar to that of high school but worse. There are very few in upper management positions that have actual experience to make them qualified. Don’t waste your time with this dump!",Learn how to manage a team the way you update your social media accounts all day.,1.0,2.0,1.0,2.0,5.0,1.0
Sat Aug 25 2018 18:30:52 GMT-0400 (Eastern Daylight Time),,"Secaucus, NJ",Former Employee ,Save Yourself!!!,I worked at The RealReal full-time for less than a year,14,There are no Pros for this job.,"ALL. This company was horrific to work for. Everyday was a new nightmare. They don't care about their employees, customers, or consignors so I'm not sure what they really care about. Human Resources is one the biggest jokes I have ever encountered. I worked in NJ location and honestly feared for my life going to work everyday with the type of people who worked there. My car and MANY other car got keyed. Over...",Open your eyes! Listen to your employees.,1.0,1.0,1.0,1.0,1.0,1.0
Wed Jul 11 2018 15:40:13 GMT-0400 (Eastern Daylight Time), Operations/Sales,"Las Vegas, NV",Former Employee ,Okay experience,I worked at The RealReal full-time for less than a year,2,"-No quota
-Team based environment
-Friendly direct management
-Fun and easy-going","-Corporate is misguided
-Little job security
-Generally unorganized","The employees are people, not drones and should be respected as such.",3.0,2.0,3.0,3.0,4.0,2.0
Mon Jun 25 2018 14:05:05 GMT-0400 (Eastern Daylight Time), Fashion Copywriter,"Secaucus, NJ",Current Employee ,Fashion Copywriter,I have been working at The RealReal full-time for less than a year,8,"Great benefits, overtime opportunities and upward mobility","Strict Daily/monthly quotas, workspace air quality isn’t the best, attendance policy is horrible, high employment turnover rate","Communication could be better, more training on areas that are imperitive to do the job efficiently",3.0,1.0,3.0,5.0,5.0,4.0
Mon Jun 18 2018 14:50:25 GMT-0400 (Eastern Daylight Time), Client Account Representative,"San Francisco, CA",Former Employee ,Client Account Representative,I worked at The RealReal full-time for more than a year,19,Met a lot of wonderful people who felt like family. Lots of peer-to-peer support.,"No positive feedback for myself or any of my team members. There was so much negative criticism from management that everyone including myself felt incapable and unwanted, resulting in a lack of motivation. The only support we had was through our equal counterparts. I went home and cried often over feeling worthless.","I hope the team now gets more positive reinforcement. If someone is performing poorly, I hope management works with employees in a positive way to improve and plan for success. Encourage the team. If someone is working hard and doing well, reward them with acknowledgement - don't just tell them ""good job, but do better"". A team needs positive reinforcements and support in order to see worth in their efforts and...",2.0,4.0,2.0,2.0,2.0,2.0
Sat Jul 21 2018 11:47:29 GMT-0400 (Eastern Daylight Time), Photographer,,Current Employee ,Worst job experience ever,I have been working at The RealReal full-time for less than a year,19,"You literally don’t have to talk to anyone if you don’t want to, so it’s great for people like me. But my coworkers here are kind and creative people, they are the only good vibes happening here.","1. The job description doesn’t tell you exactly what you will be doing, so you thought you would be a photographer, but instead you are just a person who dresses mannequin and clicks button. 
2. Horrible working environment. The warehouse is dusty and smelly. No windows. Very much like a modern sweatshop. 
3. The low pay. For the amount of work they are asking, the pay just doesn’t adjust it. They treat you like a...","I understand the company is growing but you continue to treat the employees whom keeps you going like this, things will go down very soon.",1.0,1.0,1.0,1.0,1.0,1.0
Mon Jun 25 2018 15:04:44 GMT-0400 (Eastern Daylight Time),,,Former Employee ,Growing Company with Plenty of Opportunity for Employees,I worked at The RealReal full-time for less than a year,0,The company culture is wonderful and I enjoyed working in their retail store.,"Start-up growing pains, Lots of details to workout, but adds to the enjoyment of the job.",,4.0,5.0,4.0,4.0,4.0,3.0
Fri Jun 29 2018 02:14:05 GMT-0400 (Eastern Daylight Time),,"San Francisco, CA","Copy Writer in San Francisco, CA",Copy Writer,I have been working at The RealReal for more than a year,7,Nobody talks to you which is great,Not a real sense of leadership. Scattered goals.,Pre input fabric and sizing it would save copy a bunch of time,2.0,2.0,2.0,2.0,5.0,3.0
Mon Jul 16 2018 04:55:56 GMT-0400 (Eastern Daylight Time), Photographer,"San Francisco, CA",Former Employee ,Product Photographer,I worked at The RealReal full-time,12,"Some of the other employees I met at this job are some of my closest friends to this day. I come from a non-fashion background, so learning about labels was educational / insightful.","Everything else. Manager was awful (sexist, ran hot and cold but mostly aloof), expectations were unrealistic, environment was bleak and uncomfortable and any perks of the job were greatly outweighed by the soullessness of the job itself.","Treat your employees with some respect and pay your workers what they are worth. If there is creativity abundant amongst your employees, encourage this! It was so depressing to be treated like such a robot whose skills were constantly undervalued.",1.0,1.0,1.0,2.0,1.0,1.0
Sun Jun 17 2018 13:49:44 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Current Employee: Copywriter,I have been working at The RealReal full-time for more than a year,0,"- passionate employees
- opportunities to learn",- life/work balance could be improved on,,4.0,3.0,4.0,4.0,4.0,3.0
Thu Jun 07 2018 16:58:49 GMT-0400 (Eastern Daylight Time),,,Former Employee ,For The Record,I worked at The RealReal full-time for more than a year,2,"You meet some really great people here, unlimited PTO, good place to start out & learn about the other fields in fashion other than retail.",The struggle is real. You're overworked a lot if you're not in a higher role & the rules change up a lot.,"Protect your workers, period— and pay them better.",4.0,3.0,4.0,4.0,3.0,3.0
Mon May 28 2018 14:28:04 GMT-0400 (Eastern Daylight Time), Copywriter,"Secaucus, NJ",Current Employee ,Copywriter,I have been working at The RealReal full-time for more than a year,3,"Insentive program
Authenticity training
Free bagels","Unset schedule 
Low pay 
Under appreciated staff",Communicate,3.0,1.0,1.0,1.0,1.0,1.0
Fri May 25 2018 10:53:20 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Fashion Product Receiver,I have been working at The RealReal part-time,3,Competitive pay for part-time jobs because of overtime pay,"Competitive work, weak feeling of teamwork, chaotic start-up feeling","Be more professional about the work environment, foster a good team in order to create better work ethics from workers to reach their quotas",3.0,1.0,4.0,4.0,5.0,5.0
Tue Apr 24 2018 16:34:03 GMT-0400 (Eastern Daylight Time),,"San Francisco, CA",Current Employee ,Growing Company with Lots of Opportunity!!,I have been working at The RealReal full-time for less than a year,9,Gem of a company to work for! Everyone is dedicated to see the company grow and be successful which is an inspiring environment to walk into everyday. The company is continuing to grow so excited to see the potential of growing within my career at a company that I believe in and the snacks help too! :),Start-up growing pains but I don't look at it as a con more of an exciting thing of what is to come!!,,5.0,5.0,5.0,5.0,5.0,5.0
Thu May 24 2018 17:28:37 GMT-0400 (Eastern Daylight Time),,,Former Employee ,LCM,I worked at The RealReal full-time,0,Flexible hours to work your own schedules,High deductibles for health insurance,,4.0,,,,,
Mon Apr 30 2018 16:15:10 GMT-0400 (Eastern Daylight Time), HQ Employee,"San Francisco, CA",Current Employee ,Great company,I have been working at The RealReal full-time for less than a year,0,"Invests in employees, growing very fast!","Changes quickly, online marketplace, office not around bus lines.",You are doing great.,5.0,4.0,5.0,5.0,5.0,5.0
Wed May 30 2018 14:10:10 GMT-0400 (Eastern Daylight Time),,, ,Copywriter,I have been working at The RealReal,6,You get your paycheck on time and the people are really nice.,Low pay and long hours. There is no such thing as a work life balance within this company.,,1.0,1.0,2.0,2.0,3.0,3.0
Fri May 25 2018 13:19:39 GMT-0400 (Eastern Daylight Time),,,Former Employee ,Not Worth It,I worked at The RealReal full-time,10,Free bagels on Fridays.,"Everything else in this company. ESPECIALLY management. If you're in their clique, you're good. If not, prepare to be bombarded with disrespect.","Stop treating employees like they're so far beneath you. Acknowledge each and everyone of them, and break out of your little high school cliques. I've NEVER seen such horrible treatment of people who gave their time to work for a company. Your employees matter. More than you know. Treat them better, or soon, you won't have a team to mistreat.",1.0,1.0,1.0,1.0,2.0,1.0
Tue Apr 10 2018 22:01:35 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Product Manager,I have been working at The RealReal full-time,0,The product and engineering team at The RealReal are great and tightly intertwined. I find the people easy to work with and supportive.,Like a lot of startups you will wear many hats which can be good or bad.,,4.0,4.0,2.0,3.0,3.0,3.0
Thu Mar 29 2018 13:42:14 GMT-0400 (Eastern Daylight Time),,"Brisbane, CA","Photographer in Brisbane, CA",Dont DO it,I have been working at The RealReal for more than a year,17,"$50 a month in food, bagel friday, the people","horrible overtime hours, not enough pay, injuries, the worst HR department, bad communication.","Stop over working your employees, start the photography department at the same level as the copywriting department. and don't raise quotas as you go and reward your hard working employees.",2.0,2.0,1.0,2.0,1.0,2.0
Sun Mar 11 2018 21:55:38 GMT-0400 (Eastern Daylight Time), Retoucher,"San Francisco, CA",Current Employee ,"This job can be a great job, but it does have its cons.",I have been working at The RealReal full-time,13,"-Good benefits (which can be hard to find for creative people looking for artistic careers, so this is a huge plus)
-Paid time off (but sick leave and vacation leave is not separate)
-Free shuttle to and from the bart station
-Free food ($50 lunch credit every month and bagels on fridays)
-The job itself is visual, so you can listen to music, audio books, podcasts and etc.","Low salaries - The cost of living in the city is ridiculously high, the job isn't easy, and it requires extensive training. It's a job that takes a lot of skill and talent, but the pay does not adequately reward the skill sets required or compensate for the cost of living in the Bay Area.

Mandatory overtime week - At the end of every month, we all have to work monday-saturday. Having a one day weekend is widely...","This company is the kind of company that will thrive on employees lasting long term, but unfortunately it hasn't yet seemed to master the art of keeping their employees happy. All in all, the pros may outweigh the cons, but there are easy fixes to make it a nicer place to work.",3.0,1.0,2.0,3.0,,
Wed Mar 07 2018 06:38:31 GMT-0500 (Eastern Standard Time), Photographer,,Current Employee ,The Upside Down,I have been working at The RealReal full-time for less than a year,22,"+My coworkers are pretty much the only thing that keeps me going. Oh, and free bagels on Saturday’s.
+Health benefits. Beats Obamacare (still love you though, Obama)","Are you ready...?

+Managers micromanage and try to find more ways of doing so. And it’s so unnecessary.
+HR isn’t good for anything. You come to them with an issue and leave with a “good luck” pat on the back. So surprised this company hasn’t had a lawsuit filed against them yet.
+Overworked and underpaid. They expect us to photograph hundreds of products a day as if we’re robots.
+As a “job well done” gift,...","Do better. A lot better. Seriously. I know this may be hard for you to do, but try to consider that we’re creative human beings that want to do more than what we’re doing. Consider letting us assist (at the very least) on the creative shoots. Or there will be a time where half the studio quits at one time again.

Oh, and nice try with the fake 5 star reviews. No one is that happy here. Everyone is looking for...",2.0,1.0,1.0,2.0,1.0,1.0
Thu Mar 08 2018 14:07:35 GMT-0500 (Eastern Standard Time), Account Manager,"New York, NY",Former Employee ,Account manager,I worked at The RealReal full-time for more than a year,14,"Flexible schedule, free snacks, working with luxury items","Majority of upper management is unqualified, have been promoted by seniority instead of business acumen. Physical labor carrying upwards of 30lbs of clothing a day, many people in the office complain of back and neck pain. Negative employees, seems no one is happy to be there. Salary is not aligned with workload.","Take the time to help better your employees instead of putting them down for not hitting unrealistic goals. Treat the employees equally, playing favorites will not get your far and will eventually lead to higher turn over rate. Do not ask employees to write Glassdoor reviews to help your rating",2.0,4.0,1.0,1.0,1.0,2.0
Fri Apr 06 2018 16:07:16 GMT-0400 (Eastern Daylight Time), Photo Production Assistant,"Brisbane, CA",Current Employee ,"DON'T WORK HERE, YOU'LL REGRET IT",I have been working at The RealReal full-time for less than a year,15,"If you want to do a mindless job involving ZERO creativity or photographic skill this is the job for you. 

Don't let the ""perks"" trick you, still isn't worth it","A ridiculously low hourly wage
No room for upward movement
Poor communication
Mandatory overtime every month
Full day of manual labor
Poorly managed new employee training process
Dirty/Dusty studio that is never professionally cleaned
A management team of incompetent and immature people
Very high employee turnover
Treated like factory worker instead of photographer","all people promoted to management should have to take a mandatory management training course. Just because you're promoted to management doesn't mean you should be allowed to do less work than the rest of the employees who make less than you do. Management never wants to take blame for problems in the department and continues to push aside the issues that employees are unhappy.

Don't overwork your employees...",1.0,1.0,1.0,1.0,1.0,1.0
Sun Mar 04 2018 18:49:35 GMT-0500 (Eastern Standard Time), Business Development Representative,"New York, NY",Current Employee ,The RealReal BDR Position,I have been working at The RealReal full-time for less than a year,0,"great company culture, good camaraderie, wonderful management",very much a start-up feel,,5.0,5.0,4.0,5.0,4.0,5.0
Mon Feb 26 2018 12:08:42 GMT-0500 (Eastern Standard Time),,"Los Angeles, CA",Former Employee ,Terrible and depressing,I worked at The RealReal full-time for less than a year,14,Good Benefits. But at what cost?,"-Absolutely no company culture
-High school gossip environment 
- No organization or structure within company
- Low pay
- Have to use your own car for work sometimes driving up to 100 miles a day
-Depressing work environment",Put people in charge who are actually qualified to be in charge and are able to lead. Invest in company culture and in employees.,2.0,2.0,1.0,1.0,2.0,1.0
Wed Feb 07 2018 13:56:26 GMT-0500 (Eastern Standard Time),,"Secaucus, NJ",Current Employee ,"Solid job, very repetitive work in most positions",I have been working at The RealReal full-time for less than a year,1,"Pretty laidback environment, used to have free lunches but the companies growing a lot. Co workers are friendly and helpful. Benefits are pretty good",Little room for actual advancement. Once your in the role of a specific position it's hard to deviate,Don't forget about the employees as the company keeps growing.,3.0,,,,,
Sun Feb 04 2018 15:07:36 GMT-0500 (Eastern Standard Time), Production Assistant,"Secaucus, NJ",Current Employee ,mediocre company,I have been working at The RealReal full-time for less than a year,14,surrounded by a lot of young creatives,"overworked 
not paid enough 
they care about quantity over quality 
we are all just a number they do not look at us like human beings",pay better and treat workers better,2.0,1.0,1.0,4.0,4.0,1.0
Wed Jan 31 2018 19:53:45 GMT-0500 (Eastern Standard Time), Manager,"New York, NY",Current Employee ,Love,I have been working at The RealReal full-time for less than a year,1,"This is a company investing in the future. What you get is what you put in, this has been the best job I have ever had!","Salaries can be low for hourly employees, location can be an obsticle",,5.0,3.0,4.0,5.0,3.0,5.0
Mon Jan 29 2018 21:10:10 GMT-0500 (Eastern Standard Time),,,Current Employee ,The RealReal Work Environment,I have been working at The RealReal full-time,3,People are really friendly and professional,have not seen any appreciation to people who work in warehouse,,3.0,3.0,4.0,3.0,2.0,3.0
Thu Jan 11 2018 13:19:53 GMT-0500 (Eastern Standard Time), Engineering Manager,"San Francisco, CA",Current Employee ,Solid engineering team and increasing effort in the rest of the company,I have been working at The RealReal full-time for more than a year,6,"The company is growing fast and working on hard problems. The engineering team is people oriented, and built around making engineers successful. The company sees itself as a tech company and invests in engineering solutions to challenging problems.",The company has consistently struggled with work happiness in the warehouse. I completely understand. It's a very tough job and I always do my best to support those teams however I can.,Keep growing and solving the problems that are facing the employees. A workforce that believes in the mission will take us far. Focusing on employees will make the company great.,5.0,4.0,5.0,5.0,5.0,4.0
Thu Feb 01 2018 04:13:46 GMT-0500 (Eastern Standard Time), Photographer,"Secaucus, NJ",Current Employee ,Photographer,I have been working at The RealReal full-time for more than a year,0,"I have worked for the company for 2 years now and it has been an overall great experience. I started as a Photo Production Assistant and have been promoted twice in two years. The pay is really good, we have free shuttle service from the train station which is a really big help. We also have an awesome lunch program . We have two restaurants come to our building three days a week and the food is awesome- the...",There is no perfect place to work trust me it doesn't exist so yes there are things that the company can work on but that is true for everywhere. I wish we had a better time off program- we get about 3 -4 weeks off a year but you have to wait til you have it to take it and sometimes that's hard for some people to be able to take sick time with pay. I have been here longer so I have been able to carry over my time...,Provide us with better planning ahead so we can plan on how long we need to work and give us two weeks advance notice for working weekends . Otherwise I think this place is great.,5.0,2.0,5.0,5.0,4.0,4.0
Fri Feb 23 2018 13:38:51 GMT-0500 (Eastern Standard Time), Luxury Manager,"Los Angeles, CA",Former Employee ,"Luxury Manager, Los Angeles",I worked at The RealReal full-time for more than a year,14,The only Pro about working for this company is meeting and working with great clients/people throughout the city.,"The pay is extremely low for the amount of work that is required. The commission is an embarrassment and goals are constantly increased to make it impossible to make the money they say you have the potential of making during the interview process. Management is under qualified and the corporate office is a hot mess, completely unorganized and inefficient.

They deceive clients, telling them certified gemologists...","Take care of your employees. Without the employee you are nothing. And without the sales team the company would fail. Stop biting the hand that feeds you and realize the value of your sales force, pay them what they are worth, stop lining your pockets with their contacts, experience and relationships, and listen to them when they make suggestions.

PAY MORE! Its like slave labor for the 24 hour work day of...",1.0,1.0,1.0,1.0,1.0,1.0
Wed Feb 14 2018 08:18:08 GMT-0500 (Eastern Standard Time), Client Account Representative,"San Francisco, CA",Former Employee ,A company full of micromanagement,I worked at The RealReal full-time for less than a year,26,"You meet a couple really great, hardworking people.","Let me start by stating that please take those negative reviews seriously, and that the positive reviews may have been written by management to balance it's low score. Please make sure to read this thoroughly especially if you're considering going into sales for this company. 
-PTO that was once offered was retracted and can now only take the time off if you have accrued it. So you cannot take a long vacation until...","Respect your workers, especially your sales team and warehouse team. If it weren't for them you wouldn't have any product to sell. Show them you appreciate them and give them praise when praise is due. Stop wasting money on stupid things such as treadmill desks and give your employees a team outing every once in a while.",1.0,1.0,1.0,1.0,1.0,1.0
Mon Jan 15 2018 18:40:24 GMT-0500 (Eastern Standard Time),,,Current Employee ,So far so good!,I have been working at The RealReal full-time,2,Definitely get recognized for your hard work.,Not always room for promotions depending on the department.,,5.0,4.0,5.0,4.0,4.0,5.0
Tue Jan 09 2018 12:34:23 GMT-0500 (Eastern Standard Time),,"San Francisco, CA","Photographer in San Francisco, CA",Great because of circumstances,I worked at The RealReal for more than 3 years,4,Fellow photographers were a cool bunch. Management was alright. I listened to podcasts all day.,Work was very redundant and boring.,,3.0,5.0,2.0,2.0,4.0,2.0
Thu Jan 11 2018 20:41:19 GMT-0500 (Eastern Standard Time),,,Current Employee ,Not horrible.,I have been working at The RealReal full-time,1,"There is room for growth, the company also allows you to not only move upward in your current position but to other positions in general within the overall company, you also don't have to worry about anyone hovering over you.",No more free lunch as someone pointed out and it can be tedious with a lot expected of you for not enough pay.,,4.0,4.0,3.0,4.0,3.0,3.0
Tue Jan 09 2018 11:01:38 GMT-0500 (Eastern Standard Time), Confidential,"San Francisco, CA",Current Employee ,Amazing All the Way Around!,I have been working at The RealReal full-time for more than a year,1,"-Super collaborative professionals in every team. Overall the warmth of the employees is a very special feature of the culture 
-Beautiful San Francisco office
-Founder is passionate and her energy is contagious!
-Business model is unique and is a disruptor in every way
- Free yummy food in the kitchen and amazing coffee machines
-HR cares and you see it everywhere
-Managers trust their people
-Free shuttle...","- This is still a start-up so not lots of processes setup. You create them as you go. 
- Growing very fast so sometime this creates its own business challenges","-Keep the vibe in the office super friendly like it is
-Monthly all employee meetings would be nice
-Hearing from the founder/sr management team more would be awesome (send us emails - we want to hear from you)",5.0,5.0,5.0,5.0,5.0,5.0
Fri Jan 05 2018 07:35:14 GMT-0500 (Eastern Standard Time), Receiving Lead,"Secaucus, NJ",Current Employee ,Great place to work!,I have been working at The RealReal full-time for more than a year,2,"I started with the company in 2015 as a Fashion receiver, with the mindset that i wanted to grow with the company. Within two years of hard work and dedication i did just that. I went from a Fashion receiver to a Senior receiver to a Receiving Lead in 2 years. There's always opportunity here for growth, you just have to speak up and work hard. I even left the company for a month for personal reasons and was hired...",No more free lunch everyday.,,5.0,5.0,5.0,5.0,5.0,5.0
Wed Jan 03 2018 20:14:49 GMT-0500 (Eastern Standard Time),,,Current Employee ,Fashion Copywriter,I have been working at The RealReal full-time for less than a year,2,"Friendly atmosphere, extensive growth of product knowledge and opportunities to grow.",Nothing to really complain about.,,5.0,4.0,5.0,5.0,3.0,5.0
Tue Jan 30 2018 11:57:15 GMT-0500 (Eastern Standard Time),,"Secaucus, NJ",Current Employee ,Run While You Still Can,I have been working at The RealReal full-time for less than a year,22,"My fellow co-workers are the only thing that keeps me going in this place. They are amazing, hardworking, genuine, and creative people.","Oh boy where to start. Working at TheRealReal is like having all the life sucked out of you. There is absolutely ZERO work/life balance here as there is REQUIRED overtime, not just once a month as they tell you in the interview, but practically every day. Getting to leave at your scheduled end time is a damn miracle. The pay is abysmal for northern NJ so you feel like you need to work overtime to survive. You only...","Congrats on making ""2 million dollars a day"". Why don't you put some of that back into the people who are making that possible? 
LISTEN TO THE COMPLAINTS. Do not disregard these reviews as people who just want to trash the company. The employees here are fantastic, artistic, energetic and fun people that want this place to succeed. You could make this a great place to work if you put in the effort.",1.0,1.0,1.0,1.0,1.0,1.0
Sat Jan 06 2018 08:23:26 GMT-0500 (Eastern Standard Time), Manager,"Secaucus, NJ",Current Employee ,An innovative fashion company changing the game,I have been working at The RealReal full-time for more than 3 years,1,"At the real real there is tons of growth and opportunity for those who are vocal about moving up and put in the work to do so. I have seen super talented employees start at an entry level position and work their way up to a leadership role in six months to one year. It actually happens pretty often. Because the company is a unique start up, ideas are always welcomed and there is no tightly structured growth path...","To be successful here you need to be able to deal with constant change so those who are entry level or don’t have diverse work experience could become overwhelmed while trying to keep up. There is still work to be done when it comes to providing managers with a system to automatically track employee performance. Some roles are only offered at our headquarters in SF, so if your interested in public relations,...",Continue to keep employees engaged and make them feel like they are apart of a team. Push for fairness and consistency across departments. Keep promoting hard working employees!,4.0,4.0,3.0,4.0,4.0,4.0
